CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,TNR_SF,TNR_LF,DATA_QUALITY_FLAG,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,CHARACTERISTIC_NOTE,C1_COUNT_TOTAL,SYMBOL,C2_COUNT_MEN+,SYMBOL,C3_COUNT_WOMEN+,SYMBOL,C10_RATE_TOTAL,SYMBOL,C11_RATE_MEN+,SYMBOL,C12_RATE_WOMEN+,SYMBOL
2021,2021A000213,13,Province,New Brunswick,3.2,4.3,0,170,"      $150,000 and over",,10835,,8065,,2770,,1.7,,2.6,,0.9,
2021,2021A000261,61,Territory,Northwest Territories,8.2,10.8,10,159,"    $10,000 to $19,999",,2420,,1215,,1210,,7.6,,7.6,,7.7,
2021,2021A000261,61,Territory,Northwest Territories,8.2,10.8,10,160,"    $20,000 to $29,999",,3400,,1715,,1685,,10.7,,10.7,,10.7,
2021,2021A000261,61,Territory,Northwest Territories,8.2,10.8,10,161,"    $30,000 to $39,999",,2860,,1340,,1525,,9,,8.4,,9.7,
2021,2021A000261,61,Territory,Northwest Territories,8.2,10.8,10,162,"    $40,000 to $49,999",,2410,,1155,,1255,,7.6,,7.2,,8,
2021,2021A000261,61,Territory,Northwest Territories,8.2,10.8,10,163,"    $50,000 to $59,999",,2045,,980,,1065,,6.4,,6.1,,6.8,
2021,2021A000261,61,Territory,Northwest Territories,8.2,10.8,10,164,"    $60,000 to $69,999",,1755,,850,,910,,5.5,,5.3,,5.8,
2021,2021A000261,61,Territory,Northwest Territories,8.2,10.8,10,165,"    $70,000 to $79,999",,1895,,915,,980,,6,,5.7,,6.2,
2021,2021A000261,61,Territory,Northwest Territories,8.2,10.8,10,166,"    $80,000 to $89,999",,1625,,730,,890,,5.1,,4.6,,5.7,
2021,2021A000261,61,Territory,Northwest Territories,8.2,10.8,10,167,"    $90,000 to $99,999",,1560,,730,,830,,4.9,,4.6,,5.3,
2021,2021A000261,61,Territory,Northwest Territories,8.2,10.8,10,168,"    $100,000 and over",,8425,,4695,,3730,,26.5,,29.3,,23.8,
2021,2021A000261,61,Territory,Northwest Territories,8.2,10.8,10,169,"      $100,000 to $149,999",,6065,,3170,,2895,,19.1,,19.8,,18.4,
2021,2021A000261,61,Territory,Northwest Territories,8.2,10.8,10,170,"      $150,000 and over",,2355,,1525,,835,,7.4,,9.5,,5.3,
2021,2021A000212,12,Province,Nova Scotia,2.9,3.9,0,159,"    $10,000 to $19,999",,102030,,40305,,61730,,12.9,,10.5,,15.1,
2021,2021A000212,12,Province,Nova Scotia,2.9,3.9,0,160,"    $20,000 to $29,999",,140270,,60610,,79660,,17.7,,15.8,,19.4,
2021,2021A000212,12,Province,Nova Scotia,2.9,3.9,0,161,"    $30,000 to $39,999",,111240,,49815,,61425,,14,,13,,15,
2021,2021A000212,12,Province,Nova Scotia,2.9,3.9,0,162,"    $40,000 to $49,999",,96235,,44300,,51940,,12.1,,11.6,,12.7,
2021,2021A000212,12,Province,Nova Scotia,2.9,3.9,0,163,"    $50,000 to $59,999",,72270,,36525,,35745,,9.1,,9.5,,8.7,
2021,2021A000212,12,Province,Nova Scotia,2.9,3.9,0,164,"    $60,000 to $69,999",,52910,,29860,,23050,,6.7,,7.8,,5.6,
2021,2021A000212,12,Province,Nova Scotia,2.9,3.9,0,165,"    $70,000 to $79,999",,40055,,23620,,16435,,5.1,,6.2,,4,
2021,2021A000212,12,Province,Nova Scotia,2.9,3.9,0,166,"    $80,000 to $89,999",,32100,,18350,,13755,,4.1,,4.8,,3.4,
2021,2021A000212,12,Province,Nova Scotia,2.9,3.9,0,167,"    $90,000 to $99,999",,23205,,13035,,10175,,2.9,,3.4,,2.5,
2021,2021A000212,12,Province,Nova Scotia,2.9,3.9,0,168,"    $100,000 and over",,56580,,37845,,18735,,7.1,,9.9,,4.6,
2021,2021A000212,12,Province,Nova Scotia,2.9,3.9,0,169,"      $100,000 to $149,999",,40070,,25970,,14095,,5.1,,6.8,,3.4,
2021,2021A000212,12,Province,Nova Scotia,2.9,3.9,0,170,"      $150,000 and over",,16510,,11875,,4635,,2.1,,3.1,,1.1,
